INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
283390056,03/07/2024,17:15:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,18-24,M,BLACK,18-24,M,BLACK,1008245,183796,,,
283404608,03/07/2024,16:14:00,BRONX,OUTSIDE,40,0,STREET,(null),Y,<18,M,BLACK,<18,M,BLACK,1005028,234516,,,
281250471,01/27/2024,18:36:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1015391,181282,40.6642,-73.88775,POINT (-73.88775 40.6642)
283951187,03/18/2024,22:00:00,QUEENS,OUTSIDE,103,0,DWELLING,PVT HOUSE,N,(null),(null),(null),25-44,M,BLACK,1042419,193657,40.698032,-73.790219,POINT (-73.790219 40.698032)
279799858,01/01/2024,14:57:00,BRONX,OUTSIDE,52,0,STREET,(null),N,25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1014086,254305,40.86463266264929,-73.89213149135563,POINT (-73.89213149135563 40.86463266264929)
282041195,02/10/2024,18:55:00,BROOKLYN,OUTSIDE,61,0,STREET,(null),N,45-64,M,BLACK,25-44,M,BLACK,989992,155381,40.59316,-73.979324,POINT (-73.979324 40.59316)
283815379,03/15/2024,03:00:00,MANHATTAN,OUTSIDE,25,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1001643,232461,40.804711,-73.937173,POINT (-73.937173 40.804711)
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK HISPANIC,65+,M,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244)
282780443,02/25/2024,20:50:00,BRONX,OUTSIDE,47,0,COMMERCIAL,SMALL MERCHANT,N,(null),(null),(null),25-44,M,BLACK,1026242,262090,40.885953,-73.848134,POINT (-73.848134 40.885953)
283147870,03/03/2024,22:37:00,MANHATTAN,OUTSIDE,32,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1001767,241659,40.829956,-73.936699,POINT (-73.936699 40.829956)
279863277,01/02/2024,21:00:00,BROOKLYN,OUTSIDE,69,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,25-44,M,BLACK,<18,M,BLACK,1016320,170575,40.63481,-73.884452,POINT (-73.884452 40.63481)
280879491,01/21/2024,06:08:00,BRONX,INSIDE,47,0,STREET,(null),Y,(null),(null),(null),25-44,M,BLACK,1023421,264176,40.891691,-73.858323,POINT (-73.858323 40.891691)
284197306,03/22/2024,19:20:00,BRONX,OUTSIDE,40,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1005368,232661,40.805251,-73.923716,POINT (-73.923716 40.805251)
282767548,02/24/2024,01:05:00,QUEENS,OUTSIDE,105,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,1059234,176993,40.6521640716821,-73.72976727214584,POINT (-73.72976727214584 40.6521640716821)
280507340,01/14/2024,15:30:00,BRONX,OUTSIDE,41,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1014854,240518,40.826789,-73.889415,POINT (-73.889415 40.826789)
283128966,03/02/2024,03:25:00,QUEENS,INSIDE,114,0,(null),BAR/NIGHT CLUB,N,(null),(null),(null),25-44,M,BLACK,1006506,214760,40.756115,-73.919666,POINT (-73.919666 40.756115)
281919772,02/08/2024,15:48:00,BRONX,OUTSIDE,44,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1008773,242041,40.83098797459443,-73.91138485053483,POINT (-73.91138485053483 40.83098797459443)
280107187,01/06/2024,14:02:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,999009,171975,40.638698,-73.946819,POINT (-73.946819 40.638698)
280519831,01/14/2024,20:14:00,BROOKLYN,INSIDE,73,1,TRANSIT,(null),Y,(null),(null),(null),45-64,M,BLACK,1009519,180676,40.6625545044738,-73.90891970492359,POINT (-73.90891970492359 40.6625545044738)
281726800,02/05/2024,02:02:00,QUEENS,OUTSIDE,107,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,(null),(null),(null),18-24,M,WHITE HISPANIC,1036732,206997,40.734681,-73.810626,POINT (-73.810626 40.734681)
280894362,01/21/2024,19:55:00,MANHATTAN,OUTSIDE,34,0,STREET,(null),N,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1004298,254122,40.864158,-73.927516,POINT (-73.927516 40.864158)
280179979,01/08/2024,18:30:00,BROOKLYN,OUTSIDE,79,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,25-44,M,BLACK,999496,190300,,,
280500173,01/13/2024,23:59:00,MANHATTAN,OUTSIDE,34,0,STREET,(null),N,18-24,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1006957,255000,40.866564,-73.9179,POINT (-73.9179 40.866564)
282706131,02/23/2024,20:06:00,BRONX,OUTSIDE,41,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1015160,237028,40.817209,-73.888326,POINT (-73.888326 40.817209)
280954433,01/23/2024,01:43:00,QUEENS,OUTSIDE,105,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1056737,199551,40.714104,-73.738523,POINT (-73.738523 40.714104)
282767547,02/24/2024,14:59:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,1009389,180649,40.662483,-73.909388,POINT (-73.909388 40.662483)
282033298,02/10/2024,05:10:00,BRONX,INSIDE,52,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK HISPANIC,<18,M,BLACK HISPANIC,1015796,257648,40.873803,-73.885931,POINT (-73.885931 40.873803)
284454187,03/28/2024,02:03:00,BROOKLYN,OUTSIDE,63,0,STREET,(null),N,25-44,M,BLACK,25-44,M,WHITE HISPANIC,998933,168067,40.62797,-73.947101,POINT (-73.947101 40.62797)
281975469,02/09/2024,06:40:00,QUEENS,OUTSIDE,104,0,COMMERCIAL,(null),N,(null),(null),(null),18-24,M,WHITE HISPANIC,1009124,195901,40.704345,-73.910285,POINT (-73.910285 40.704345)
280245040,01/09/2024,17:21:00,BRONX,OUTSIDE,42,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,BLACK,1010069,244367,40.837369,-73.906691,POINT (-73.906691 40.837369)
280638539,01/16/2024,10:11:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1007552,183790,40.671108,-73.915997,POINT (-73.915997 40.671108)
280690342,01/17/2024,03:50:00,BRONX,OUTSIDE,49,0,STREET,(null),N,(null),(null),(null),18-24,M,ASIAN / PACIFIC ISLANDER,1027434,251387,,,
284090547,03/20/2024,16:24:00,BRONX,OUTSIDE,41,0,STREET,(null),N,(null),(null),(null),45-64,M,WHITE HISPANIC,1015722,233146,40.80655169478921,-73.88631601356572,POINT (-73.88631601356572 40.80655169478921)
281552305,02/02/2024,04:50:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1013374,248085,40.84756301134388,-73.89473266401328,POINT (-73.89473266401328 40.84756301134388)
283128965,03/02/2024,01:29:00,BRONX,OUTSIDE,44,0,STREET,(null),N,(null),(null),(null),25-44,F,BLACK,1006769,241999,40.830878,-73.918625,POINT (-73.918625 40.830878)
284584434,03/30/2024,20:50:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,(null),(null),(null),18-24,M,BLACK HISPANIC,1013076,252524,40.85974771441924,-73.89579068278967,POINT (-73.89579068278967 40.85974771441924)
284213335,03/23/2024,00:28:00,BRONX,OUTSIDE,43,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1020324,240687,40.827234,-73.869649,POINT (-73.869649 40.827234)
283020988,02/29/2024,22:35:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),Y,(null),(null),(null),<18,M,BLACK,998911,185545,40.67594273976806,-73.94714487673248,POINT (-73.94714487673248 40.67594273976806)
283885165,03/16/2024,20:00:00,STATEN ISLAND,OUTSIDE,121,0,STREET,(null),N,45-64,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,940986,169325,40.631331,-74.155867,POINT (-74.155867 40.631331)
279863276,01/02/2024,14:57:00,BRONX,OUTSIDE,45,0,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1032217,239443,40.823762,-73.826686,POINT (-73.826686 40.823762)
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK HISPANIC,25-44,F,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244)
283711013,03/13/2024,09:55:00,BROOKLYN,OUTSIDE,73,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1008769,177614,40.654153,-73.911632,POINT (-73.911632 40.654153)
283020987,02/29/2024,17:29:00,BRONX,INSIDE,40,0,COMMERCIAL,GROCERY/BODEGA,N,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1009568,236579,40.815995,-73.908532,POINT (-73.908532 40.815995)
281390656,01/30/2024,21:12:00,BRONX,OUTSIDE,47,0,STREET,(null),N,25-44,M,BLACK,45-64,M,BLACK,1021270,257055,40.872153,-73.866141,POINT (-73.866141 40.872153)
280879491,01/21/2024,06:08:00,BRONX,INSIDE,47,0,STREET,(null),N,(null),(null),(null),45-64,M,BLACK,1023421,264176,40.891691,-73.858323,POINT (-73.858323 40.891691)
280768895,01/18/2024,21:00:00,BRONX,OUTSIDE,48,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1010264,212763,40.75062352990398,-73.9061104449288,POINT (-73.9061104449288 40.75062352990398)
280872174,01/20/2024,12:57:00,BRONX,INSIDE,44,0,COMMERCIAL,GROCERY/BODEGA,N,(null),(null),(null),25-44,M,BLACK,1006888,240238,40.826047,-73.9182,POINT (-73.9182 40.826047)
280370387,01/11/2024,21:34:00,BRONX,OUTSIDE,43,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1021739,244529,40.837771289628165,-73.86451768463364,POINT (-73.86451768463364 40.837771289628165)
282682441,02/23/2024,04:40:00,BRONX,INSIDE,46,1,TRANSIT,(null),Y,18-24,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1011698,251174,40.85604676326622,-73.90077783555246,POINT (-73.90077783555246 40.85604676326622)
284257899,03/22/2024,14:40:00,QUEENS,INSIDE,103,0,DWELLING,PVT HOUSE,Y,25-44,M,BLACK,25-44,F,BLACK,1039200,189532,40.686728,-73.801863,POINT (-73.801863 40.686728)
284274405,03/24/2024,19:20:00,MANHATTAN,OUTSIDE,25,0,STREET,(null),Y,(null),(null),(null),18-24,F,BLACK,1001963,233039,40.806296307097966,-73.9360168931391,POINT (-73.9360168931391 40.806296307097966)
281134487,01/25/2024,20:13:00,QUEENS,OUTSIDE,103,0,STREET,GROCERY/BODEGA,N,25-44,M,ASIAN / PACIFIC ISLANDER,18-24,M,BLACK,1040292,191255,40.691451,-73.797913,POINT (-73.797913 40.691451)
280179980,01/08/2024,21:43:00,BRONX,OUTSIDE,47,0,STREET,(null),N,<18,M,BLACK,<18,M,BLACK,1026948,263437,40.889646,-73.845569,POINT (-73.845569 40.889646)
284961340,03/17/2024,18:40:00,BROOKLYN,INSIDE,62,0,DWELLING,MULTI DWELL - APT BUILD,Y,25-44,M,WHITE,45-64,M,BLACK,985022,157827,40.599876,-73.997218,POINT (-73.997218 40.599876)
280872175,01/20/2024,20:30:00,BROOKLYN,INSIDE,75,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1017036,183890,,,
282363027,02/16/2024,22:30:00,BRONX,INSIDE,40,0,STREET,MULTI DWELL - APT BUILD,N,(null),(null),(null),25-44,M,BLACK,1010360,235031,40.811744,-73.905674,POINT (-73.905674 40.811744)
281593157,02/02/2024,23:08:00,BROOKLYN,INSIDE,69,0,COMMERCIAL,GROCERY/BODEGA,N,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1008632,171086,40.636236,-73.91215,POINT (-73.91215 40.636236)
280370387,01/11/2024,21:34:00,BRONX,OUTSIDE,43,0,STREET,(null),N,18-24,M,WHITE HISPANIC,25-44,M,BLACK,1021739,244529,40.837771289628165,-73.86451768463364,POINT (-73.86451768463364 40.837771289628165)
280879491,01/21/2024,06:08:00,BRONX,INSIDE,47,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1023421,264176,40.891691,-73.858323,POINT (-73.858323 40.891691)
282942198,02/28/2024,13:15:00,MANHATTAN,OUTSIDE,19,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK,18-24,M,WHITE HISPANIC,999232,224050,40.781632,-73.9459,POINT (-73.9459 40.781632)
282064253,02/11/2024,21:50:00,MANHATTAN,OUTSIDE,13,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,BLACK,987366,208421,40.738744,-73.988753,POINT (-73.988753 40.738744)
282682441,02/23/2024,04:40:00,BRONX,INSIDE,46,1,TRANSIT,(null),Y,25-44,F,BLACK HISPANIC,45-64,M,WHITE HISPANIC,1011698,251174,40.85604676326622,-73.90077783555246,POINT (-73.90077783555246 40.85604676326622)
279799858,01/01/2024,14:57:00,BRONX,OUTSIDE,52,0,STREET,(null),N,25-44,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1014086,254305,40.86463266264929,-73.89213149135563,POINT (-73.89213149135563 40.86463266264929)
279784405,01/01/2024,06:33:00,MANHATTAN,OUTSIDE,34,0,COMMERCIAL,(null),N,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1007382,255503,40.867942,-73.916363,POINT (-73.916363 40.867942)
283641593,03/12/2024,20:35:00,BROOKLYN,OUTSIDE,79,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK HISPANIC,995918,190890,40.69062,-73.957925,POINT (-73.957925 40.69062)
282041194,02/10/2024,21:25:00,BRONX,OUTSIDE,44,0,STREET,(null),N,18-24,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1007536,244566,40.837924,-73.915846,POINT (-73.915846 40.837924)
282543135,02/20/2024,23:36:00,BROOKLYN,INSIDE,75,0,COMMERCIAL,GROCERY/BODEGA,N,45-64,M,BLACK,18-24,M,BLACK,1015391,181282,40.6642,-73.88775,POINT (-73.88775 40.6642)
280638541,01/16/2024,15:00:00,BROOKLYN,INSIDE,73,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK,UNKNOWN,M,WHITE,1007743,184918,40.674205,-73.915304,POINT (-73.915304 40.674205)
281200475,01/27/2024,02:30:00,MANHATTAN,OUTSIDE,34,0,COMMERCIAL,BAR/NIGHT CLUB,N,45-64,M,BLACK,25-44,M,BLACK,1006101,253200,40.861624,-73.921003,POINT (-73.921003 40.861624)
280114204,01/07/2024,15:03:00,QUEENS,OUTSIDE,103,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,BLACK,25-44,M,BLACK,1041787,192170,40.693953,-73.792511,POINT (-73.792511 40.693953)
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),N,<18,M,BLACK HISPANIC,<18,F,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244)
283831607,03/15/2024,18:05:00,BROOKLYN,OUTSIDE,81,0,STREET,(null),N,25-44,M,BLACK,18-24,M,BLACK,1004227,186741,40.679217,-73.927974,POINT (-73.927974 40.679217)
284584433,03/31/2024,04:20:00,BRONX,INSIDE,48,0,COMMERCIAL,GROCERY/BODEGA,Y,25-44,M,BLACK,25-44,M,BLACK,1015722,246426,40.843004,-73.886251,POINT (-73.886251 40.843004)
284584434,03/30/2024,20:50:00,BRONX,OUTSIDE,46,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK HISPANIC,1013076,252524,40.85974771441924,-73.89579068278967,POINT (-73.89579068278967 40.85974771441924)
284540124,03/29/2024,19:54:00,MANHATTAN,OUTSIDE,7,0,OTHER,(null),N,18-24,M,WHITE HISPANIC,18-24,M,BLACK,988980,201020,40.71843,-73.982936,POINT (-73.982936 40.71843)
284321060,03/25/2024,17:48:00,QUEENS,OUTSIDE,101,0,STREET,(null),Y,25-44,M,BLACK HISPANIC,25-44,M,WHITE,1052982,159437,40.60403,-73.752477,POINT (-73.752477 40.60403)
280500174,01/12/2024,18:47:00,BRONX,INSIDE,52,0,COMMERCIAL,GROCERY/BODEGA,N,<18,M,WHITE HISPANIC,25-44,M,BLACK,1010769,253612,40.862742,-73.904126,POINT (-73.904126 40.862742)
283885167,03/16/2024,21:40:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,25-44,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1011486,252148,40.858721,-73.901537,POINT (-73.901537 40.858721)
280502673,01/13/2024,18:43:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1009695,243534,40.835085,-73.908047,POINT (-73.908047 40.835085)
281250470,01/27/2024,18:35:00,STATEN ISLAND,OUTSIDE,120,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,962669,173939,40.644072673643095,-74.07776561403846,POINT (-74.07776561403846 40.644072673643095)
280000369,01/04/2024,19:10:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1009968,182502,40.667566,-73.907293,POINT (-73.907293 40.667566)
283767688,03/14/2024,18:12:00,BRONX,OUTSIDE,41,0,STREET,(null),N,25-44,M,BLACK,25-44,F,BLACK,1013033,238142,40.820276,-73.896006,POINT (-73.896006 40.820276)
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),N,<18,M,BLACK HISPANIC,65+,M,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244)
281196350,01/26/2024,20:50:00,QUEENS,OUTSIDE,103,0,STREET,(null),N,(null),(null),(null),25-44,M,ASIAN / PACIFIC ISLANDER,1041685,198145,40.710354,-73.79283,POINT (-73.79283 40.710354)
282033298,02/10/2024,05:10:00,BRONX,INSIDE,52,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK HISPANIC,<18,M,BLACK,1015796,257648,40.873803,-73.885931,POINT (-73.885931 40.873803)
280120264,01/07/2024,17:15:00,BROOKLYN,OUTSIDE,63,0,COMMERCIAL,CHAIN STORE,N,(null),(null),(null),25-44,M,BLACK,1004239,167352,40.625998,-73.927988,POINT (-73.927988 40.625998)
283885167,03/16/2024,21:40:00,BRONX,OUTSIDE,46,0,STREET,(null),Y,45-64,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1011486,252148,40.858721,-73.901537,POINT (-73.901537 40.858721)
283500025,03/10/2024,00:35:00,BROOKLYN,INSIDE,77,0,DWELLING,MULTI DWELL - APT BUILD,Y,(null),(null),(null),25-44,M,BLACK,996547,184480,40.673024,-73.955668,POINT (-73.955668 40.673024)
280822659,01/19/2024,18:20:00,BROOKLYN,OUTSIDE,73,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,M,BLACK,1006025,185468,40.675719,-73.921496,POINT (-73.921496 40.675719)
280568175,01/15/2024,14:48:00,MANHATTAN,OUTSIDE,32,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,999575,236782,40.816576,-73.944633,POINT (-73.944633 40.816576)
284583087,03/30/2024,13:40:00,BRONX,OUTSIDE,52,0,STREET,(null),N,18-24,M,WHITE HISPANIC,<18,M,BLACK,1012584,253498,40.862423,-73.897562,POINT (-73.897562 40.862423)
280107187,01/06/2024,14:02:00,BROOKLYN,OUTSIDE,67,0,STREET,(null),N,(null),(null),(null),65+,F,BLACK,999009,171975,40.638698,-73.946819,POINT (-73.946819 40.638698)
283767689,03/14/2024,17:37:00,QUEENS,OUTSIDE,105,0,STREET,(null),N,18-24,M,BLACK,18-24,F,BLACK,1052434,199457,40.7138773562237,-73.75404615572982,POINT (-73.75404615572982 40.7138773562237)
281464670,01/31/2024,18:10:00,BROOKLYN,OUTSIDE,71,0,STREET,(null),Y,18-24,M,BLACK,18-24,M,BLACK,1003332,182590,40.66782350363816,-73.93121487397924,POINT (-73.93121487397924 40.66782350363816)
282042587,02/10/2024,03:00:00,BROOKLYN,INSIDE,79,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),25-44,F,BLACK,999851,193263,40.697126,-73.943737,POINT (-73.943737 40.697126)
281134487,01/25/2024,20:13:00,QUEENS,OUTSIDE,103,0,STREET,GROCERY/BODEGA,N,25-44,M,ASIAN / PACIFIC ISLANDER,45-64,M,BLACK,1040292,191255,40.691451,-73.797913,POINT (-73.797913 40.691451)
280384565,01/11/2024,00:56:00,BROOKLYN,OUTSIDE,75,0,PARKING LOT,(null),N,(null),(null),(null),25-44,M,BLACK,1022254,183463,40.67016,-73.862998,POINT (-73.862998 40.67016)
281343761,01/30/2024,00:32:00,BROOKLYN,INSIDE,71,0,DWELLING,MULTI DWELL - APT BUILD,Y,(null),(null),(null),18-24,M,BLACK,1002927,182322,40.667091,-73.932674,POINT (-73.932674 40.667091)
281893084,02/08/2024,10:45:00,BRONX,OUTSIDE,50,0,STREET,(null),Y,45-64,M,BLACK,25-44,M,WHITE HISPANIC,1011141,255864,40.868923,-73.902772,POINT (-73.902772 40.868923)
279799857,01/01/2024,11:38:00,STATEN ISLAND,INSIDE,120,0,DWELLING,PVT HOUSE,N,18-24,M,BLACK,18-24,M,BLACK,955153,162658,40.613088,-74.104798,POINT (-74.104798 40.613088)
281143962,01/25/2024,18:30:00,BRONX,OUTSIDE,40,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1005674,234940,40.811507,-73.922606,POINT (-73.922606 40.811507)
282117921,02/12/2024,16:32:00,BRONX,INSIDE,44,1,TRANSIT,(null),Y,<18,M,BLACK HISPANIC,<18,F,WHITE HISPANIC,1007839,246906,40.844343526095244,-73.91474279614735,POINT (-73.91474279614735 40.844343526095244)
284584435,03/29/2024,22:00:00,QUEENS,INSIDE,113,0,DWELLING,PVT HOUSE,Y,25-44,M,BLACK,45-64,F,BLACK,1044391,186719,40.678976,-73.78317,POINT (-73.78317 40.678976)
281486708,02/01/2024,08:17:00,QUEENS,OUTSIDE,113,0,COMMERCIAL,BAR/NIGHT CLUB,N,(null),(null),(null),25-44,M,BLACK,1046315,187088,,,
283885166,03/17/2024,00:50:00,BRONX,OUTSIDE,44,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK HISPANIC,1007951,241445,40.829355,-73.914355,POINT (-73.914355 40.829355)
281933972,02/08/2024,19:06:00,MANHATTAN,OUTSIDE,14,0,STREET,(null),N,<18,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,987952,214356,40.75503340159596,-73.98663788428713,POINT (-73.98663788428713 40.75503340159596)
282041194,02/10/2024,21:25:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1007536,244566,40.837924,-73.915846,POINT (-73.915846 40.837924)
280384564,01/11/2024,18:10:00,QUEENS,OUTSIDE,101,0,STREET,(null),N,18-24,M,BLACK HISPANIC,<18,M,BLACK,1051463,159247,40.603519,-73.757946,POINT (-73.757946 40.603519)
284213333,03/22/2024,22:23:00,BROOKLYN,OUTSIDE,67,0,OTHER,HOSPITAL,N,(null),(null),(null),25-44,M,BLACK,1008769,177614,40.654153,-73.911632,POINT (-73.911632 40.654153)
283831608,03/15/2024,22:16:00,MANHATTAN,OUTSIDE,28,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,998100,233193,40.806726,-73.949968,POINT (-73.949968 40.806726)
281650925,02/03/2024,16:19:00,BRONX,OUTSIDE,42,0,STREET,(null),N,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1011255,241480,40.829443,-73.902415,POINT (-73.902415 40.829443)
281552304,02/02/2024,00:41:00,BROOKLYN,INSIDE,72,0,DWELLING,(null),N,25-44,M,ASIAN / PACIFIC ISLANDER,25-44,M,ASIAN / PACIFIC ISLANDER,982591,172686,40.64066,-74.005978,POINT (-74.005978 40.64066)
280638541,01/16/2024,15:00:00,BROOKLYN,INSIDE,73,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK,UNKNOWN,M,BLACK HISPANIC,1007743,184918,40.674205,-73.915304,POINT (-73.915304 40.674205)
282788118,02/25/2024,18:45:00,BRONX,OUTSIDE,49,0,STREET,(null),N,(null),(null),(null),18-24,M,BLACK,1029833,253251,40.861674,-73.835205,POINT (-73.835205 40.861674)
283416447,03/08/2024,00:18:00,MANHATTAN,INSIDE,14,0,COMMERCIAL,SOCIAL CLUB/POLICY LOCATI,N,(null),(null),(null),25-44,M,BLACK,986631,214350,40.755018,-73.991405,POINT (-73.991405 40.755018)
